Codigo;Produto;Quantidade;Altura;Largura;Profundidade
28;CHAVE LUZ VW PASSAT 74/85 C/REOSTATO 5 TERMINAIS;9;6,3;4;5,7
29;CHAVE LUZ VW GOL/VOYAGE/PARATI 82/87 6 TERMINAIS;15;6,3;4;5,7
31;CHAVE LUZ GM CHEVETTE 73/82;3;6,3;4;5,7
32;CHAVE LUZ GM OPALA 81/84 CHEVETTE 83/..;6;6,3;4;5,7
33;CHAVE LUZ GM MONZA 82/85;4;6,3;4;5,7
34;COMUTADOR FAROL GM OPALA/CARAVAN 69/80     3 TERM.;6;6,3;4;5,7
35;COMUTADOR FAROL FORD CORCEL 69/79 F1000    3 TERM.;9;6,3;4;5,7
43;FUSIVEL LAMINA    07A MARRON         (7.5 AMPERES);180;0,8;0,55;0,8
49;POLIA GERADOR VW FUSCA/KOMBI/BRASILIA;6;11,5;3,5;11,5
59;GARFO PART.FIAT/FORD/GM/VW                   BOSCH;48;11,5;2;6,5
60;GARFO PART.GM OPALA/CARAVAN                  DELCO;3;11,5;2;6,5
61;GARFO PART.GM D20/F4000/PERKINS              BOSCH;30;11,5;2;6,5
62;ESCOVA PARTIDA VW FUSCA GM OPALA             BOSCH;12;22;7;16
63;ESCOVA PARTIDA OPALA/CHEVETTE                DELCO;60;20;7;16
64;ESCOVA PARTIDA VW GOL FORD ESCORT            BOSCH;3;17;7;10
65;ESCOVA PARTIDA MERCEDES JF 84/..       1 FIO BOSCH;3;23;10;19
66;ESCOVA PARTIDA MERCEDES JD               12V BOSCH;12;24;8;22
67;ESCOVA PARTIDA PERKINS LONGA SOLDA  4 ESCOVA BOSCH;3;21;9;20
68;ESCOVA PARTIDA PERKINS CURTA 4 ESCOVAS       BOSCH;3;20;8;13
69;ESCOVA ALTERNADOR VW PASSAT/GOL/PARATI 251.5 BOSCH;150;15;5;8
70;ESCOVA ALTERNADOR MERCEDES/BRASILIA/CORCEL   BOSCH;15;17;5;10
71;ESCOVA ALTERNADOR CHEVETTE 82/.. S/SUPORTE  DELQUI;3;13;5;8
72;ESCOVA ALTERNADOR CHEVETTE 82/.. C/SUPORTE  DELQUI;12;13;5;8
74;ESCOVA ALTERNADOR CHEVETTE 82/.. C/SUPORTE  DELCAO;24;13;5;8
75;CEBOLINHA FREIO GM MONZA/CHEVETTE/OPALA/CORSA;15;5,5;4;4
76;CEBOLINHA FREIO FORD CORCEL/DEL REY/PAMPA;6;11;4;4
77;CEBOLINHA RE GM MONZA/KADETT/IPANEMA TODOS;1;5,5;4;4
93;JUNTA CARB.GM OPALA/CHEVETTE SOLEX DUPLO 34 SEIE;26;18,5;0,5;12
106;RELE AUXILIAR 4 TERM. 12V 40A C/SOQUETE+FUSIVEL;12;9,3;4,5;5
134;BENDIX PART.VW FUSCA/KOMBI/GOL BX         9D BOSCH;-60;7,75;5,5;5,5
135;BENDIX PART.VW GOL/PARATI/VOYAGE/KOMBI    9D BOSCH;90;7,75;5,5;5,5
136;BENDIX PART.GM CHEVETTE/MONZA VW GOL      9D BOSCH;192;7,75;5,5;5,5
137;BENDIX PART.VW GOL/PARATI/VOYAGE          9D WAPSA;2;10,76;6,1;6,1
138;BENDIX PART.GM OPALA/CARAVAN/C10 76/..    9D DELCO;24;5,55;5,5;5,5
139;BENDIX PART.VW FUSCA/KOMBI 68/72          9D BOSCH;2;7,75;5,5;5,5
